project,mode,city,year,mode_full,length,atgrade_miles,elevated_miles,below_miles,tunnel_miles,tunnel_pct,project_cost,cost_per_mile,hard_costs_row,hard_costs,soft_costs,soft_hard_pct,vehicles,avg_cost_per_vehicle,stations,avg_cost_per_station,vehicle_costs,row_costs,systems_costs,sitework_costs,facilities_costs,station_costs,guideway_costs,soft_costs_pct,vehicle_costs_pct,row_costs_pct,systems_costs_pct,sitework_costs_pct,facilities_costs_pct,station_costs_pct,guideway_costs_pct,soft_costs_per_mile,row_costs_per_mile,system_costs_per_mile,sitework_costs_per_mile,facility_costs_per_mile,guideway_costs_per_mile,Project Cost_2023,Cost per Mile_2023,Hard Costs + ROW_2023,Hard Costs_2023,Soft Costs_2023,Avg Cost per Vehicle_2023,Avg Cost per Station_2023,Vehicle Costs_2023,ROW Costs_2023,Systems Costs_2023,Sitework Costs_2023,Facilities Costs_2023,Station Costs_2023,Guideway Costs_2023,Soft Costs per Mile_2023,ROW Costs per Mile_2023,System Costs per Mile_2023,Sitework Costs per Mile_2023,Facility Costs per Mile_2023,Guideway Costs per Mile_2023
Atlanta MARTA - North South Line,HRT,"Atlanta, GA",1984,Heavy Rail Transit,22.2,8.5,6.7,7.0,7.0,0.32,4039036247,181938570,2721543689,2520176519,793062910,0.31,169,3103134.0,18,48317796.0,524429647,201367170,287396272,208768083,68518862,869720334,1085772969,0.2,0.13,0.05,0.07,0.05,0.02,0.22,0.27,35723555,9070593,12945778,9403968,3086435,48908692,4541840139.253032,204587394.01461414,3060338063.7180424,2833903478.9546366,891788223.0609292,3489431.0664206366,54332690.24907554,589713851.3495737,226434584.76340553,323173114.62871903,234756808.5997195,77048508.28181717,977988431.2302763,1220936617.3385909,40170641.235598035,10199755.796900025,14557347.485537143,10574631.352312064,3470653.272945344,54997144.59085507
Atlanta MARTA - Line Dunwoody Extension,HRT,"Atlanta, GA",1999,Heavy Rail Transit,1.85,0.67,0.38,0.8,0.8,0.43,751683392,406315347,350035827,306672257,195248447,0.64,56,3685699.0,2,65517379.0,206399118,43363570,29775521,37324120,0,131034759,108537858,0.26,0.27,0.06,0.04,0.05,,0.17,0.14,105539701,23439767,16094876,20175200,0,58669112,845257530.0187621,456895962.14191234,393610423.87922645,344848691.93052363,219554165.76666787,4144517.3144554743,73673382.35250396,232092940.37286782,48761731.948702805,33482159.647717457,41970454.339004315,0.0,147346765.82949403,122049313.23879395,118677927.35026754,26357692.307022914,18098464.431309737,22686732.075137466,0.0,65972601.26443517
Baltimore MDMTA - Metro Sections A and B,HRT,"Baltimore, MD",1982,Heavy Rail Transit,15.0,6.0,3.0,6.0,6.0,0.4,2569356073,171290405,1829591852,1777199086,523330272,0.29,100,2164339.0,12,60472632.0,216433949,52392766,222453810,150313560,37896671,725671579,640863467,0.2,0.08,0.02,0.09,0.06,0.01,0.28,0.25,34888685,3492851,14830254,10020904,2526445,42724231,2889205204.1009927,192613680.423331,2057350616.2604861,1998435678.8661916,588477619.4373693,2433769.133033177,68000634.44537771,243376968.40313685,58914937.39429457,250146218.45451525,169025509.68417168,42614279.98317894,816007607.722102,720642064.1467099,39231841.520721845,3927662.4179872307,16676414.563634349,11268367.31227811,2840952.2987415576,48042804.12651584
Boston MBTA - Orange Line,HRT,"Boston, MA",1983,Heavy Rail Transit,4.7,0.0,0.0,4.7,0.53,0.11,2325536328,494794963,1631846465,1559464803,483016325,0.31,120,1755613.0,9,48094000.0,210673538,72381662,138774998,281961550,0,432846003,705882253,0.21,0.09,0.03,0.06,0.12,,0.19,0.3,102769431,15400354,29526595,59991819,0,150187713,2615033288.6085396,556390060.9514928,1834988676.1576188,1753596502.9475808,543145146.1790973,1974162.425087648,54081034.75661512,236899466.27182344,81392173.210038,156050557.03803372,317061845.252611,0.0,486729316.18299437,793754785.5984278,115562797.22685905,17317484.092364468,33202245.819426503,67459966.90754695,0.0,168883996.48125622
Charlotte South Light Rail Line,LRT,"Charlotte, NC",2006,Light Rail Transit,9.6,6.8,1.0,1.8,0.0,0.0,604745916,62994366,417068873,368909746,117101159,0.32,16,4410993.0,8,11191375.0,70575884,48159127,82356012,6698869,36783538,89531001,153540327,0.19,0.12,0.08,0.14,0.01,0.06,0.15,0.25,12198037,5016576,8578751,697799,3831619,15993784,680028379.8835,70836289.29007639,468988152.71375424,414833883.550548,131678626.2302764,4960100.339838358,12584545.688637117,79361600.93946931,54154269.16320626,92608191.19616193,7532785.112883344,41362577.39113554,100676366.63358304,172653964.34127024,13716523.12054471,5641070.009048971,9646686.301812008,784665.2799129054,4308602.326966085,17984787.88193527
Chicago CTA - O'Hare Blue Line Extension,HRT,"Chicago, IL",1981,Heavy Rail Transit,7.13,6.08,0.57,0.47,0.47,0.07,582510272,81738446,521708587,521708587,60801685,0.12,0,,4,47699461.0,0,0,104815402,12763206,53323689,190797844,160008447,0.1,,,0.18,0.02,0.09,0.33,0.27,8531756,0,14707806,1790946,7482435,22452551,655024707.1592574,91913746.80994943,586654057.1874155,586654057.1874155,68370649.9718419,,53637381.13304793,0.0,0.0,117863463.1885596,14352047.80828874,59961747.37305974,214549524.53219172,179927275.4098018,9593841.077285308,0.0,16538723.4889914,2013893.892652323,8413894.192604346,25247581.63192235
Chicago CTA - Southwest Orange Line,HRT,"Chicago, IL",1990,Heavy Rail Transit,9.0,0.0,9.0,0.0,0.0,0.0,971388915,107932102,655424834,615559446,168002437,0.27,88,1681382.0,8,28312387.0,147961645,39865388,116497568,57995829,42261192,226499096,172305760,0.17,0.15,0.04,0.12,0.06,0.04,0.23,0.18,18666937,4429488,12944174,6443981,4695688,19145084,1092313337.9279256,121368149.0334871,737016119.014902,692188044.1196146,188916406.09209135,1890690.6969922867,31836885.794272427,166380813.9454183,44828074.8952873,130999896.5373879,65215503.88588404,47522123.20472377,254695086.3541794,193755433.01295346,20990711.288238548,4980897.71035908,14555543.809823964,7246167.09843156,5280235.911635974,21528380.946112115
Cleveland - Euclid Ave BRT,BRT,"Cleveland, OH",2007,Bus Rapid Transit,9.38,9.38,0.0,0.0,0.0,0.0,254722935,27156182,172938720,151218464,55385347,0.37,20,1319943.0,89,294267.0,26398868,21720256,12572134,42029088,2430787,26189768,67996687,0.22,0.1,0.09,0.05,0.16,0.01,0.1,0.27,5904669,2315611,1340324,4480749,259148,7249172,286432401.1527844,30536749.336694095,194467187.7382736,170043061.65895855,62280053.148296855,1484257.5635162564,330899.1527992028,29685160.26621397,24424126.07931505,14137189.999143815,47261125.48169908,2733386.2068642285,29450030.22155958,76461329.74969184,6639718.247916743,2603872.395180278,1507175.7148319,5038539.992611728,291408.325261099,8151593.190183414
Denver - Southwest Corridor,LRT,"Denver, CO",1999,Light Rail Transit,8.46,7.04,1.13,0.3,0.0,0.0,288047943,34034353,181026178,118244413,53836177,0.46,18,2954755.0,5,6180588.0,53185588,62781765,18867059,2277059,650588,30902941,65546766,0.19,0.18,0.22,0.07,0.01,,0.11,0.23,6361022,7417990,2229241,269046,76870,7744689,323905909.61355865,38271157.057260945,203561421.88786948,132964199.46830276,60538033.00828136,3322580.9425766687,6949985.3296527285,59806454.71740782,70597222.41956674,21215745.696638003,2560521.206842086,731577.1663874229,34749927.772749744,73706427.6256855,7152880.855607632,8341426.685537144,2506750.530250581,302538.48873307003,86439.24692770417,8708795.171709044
"Mason Corridor Fort Collins, Co",BRT,"Fort Collins, CO",2013,Bus Rapid Transit,5.0,4.54,0.03,0.43,0.0,0.0,96617992,19323598,73506910,60095490,18029229,0.3,5,1016371.0,17,808749.0,5081853,13411420,15365555,19570437,3315052,13748741,8095705,0.19,0.05,0.14,0.16,0.2,0.03,0.14,0.08,3605846,2682284,3073111,3914087,663010,1619141,108645589.54269475,21729117.458744507,82657498.95124921,67576543.50658745,20273617.50288962,1142895.0675056279,909427.0133151271,5714473.088555928,15080955.44466177,17278353.100380115,22006684.48453334,3727729.912920249,15460268.222246004,9103507.786507731,4054723.7254751446,3016191.088932354,3455670.620076023,4401336.447112226,745545.5327896076,1820701.5573015462
